name,url,position,score,hometown,offers,state
Isaiah Newell,https://247sports.com/player/isaiah-newell-46055074,ATH ,0.8756," Las Lomas (Walnut Creek, CA)                  ","['Oregon State', 'Arizona', 'Arizona State', 'Colorado', 'Colorado State', 'Fresno State', 'Hawaii', 'Kansas State', 'Nevada', 'Oregon', 'San Diego State', 'San Jose State', 'USC', 'Utah', 'Utah State', 'Wyoming', 'TCU']",CA
Chance Nolan,https://247sports.com/player/chance-nolan-46040283,PRO ,0.8742," Saddleback College (Mission Viejo, CA)                    ","['Oregon State', 'Massachusetts', 'New Mexico State', 'Oklahoma State', 'South Alabama', 'Temple', 'Troy', 'Utah', 'San Diego State', 'Western Kentucky']",CA
Alton Julian,https://247sports.com/player/alton-julian-46042408,CB ,0.8734," College of San Mateo (San Mateo, CA)                    ","['Oregon State', 'Colorado', 'Texas A&M', 'Boise State', 'Fresno State', 'Hawaii', 'Liberty', 'San Diego State', 'San Jose State', 'Southern Miss', 'Utah State']",CA
Rejzohn Wright,https://247sports.com/player/rejzohn-wright-93278,CB ,0.8682," Laney College (Oakland, CA)    ","['Oregon State', 'Colorado', 'Fresno State', 'Hawaii', 'San Jose State', 'UCF', 'UCF', 'UCF', 'UCLA', 'Utah State']",CA
Ben Gulbranson,https://247sports.com/player/ben-gulbranson-46056211,PRO ,0.8635," Newbury Park (Newbury Park, CA)                    ","['Oregon State', 'California', 'Arizona State', 'Kansas State', 'San Jose State']",CA
Zeriah Beason,https://247sports.com/player/zeriah-beason-46037409,WR ,0.8614," Duncanville (Duncanville, TX)                    ","['Oregon State', 'Arizona State', 'Arkansas', 'Baylor', 'Boston College', 'Colorado', 'Colorado State', 'Florida', 'Grambling State', 'Houston', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'LSU', 'Michigan State', 'Mississippi State', 'Nebraska', 'Purdue', 'SMU', 'Utah', 'UTSA', 'Virginia Tech', 'Oklahoma State']",TX
John Miller,https://247sports.com/player/john-miller-46053802,ILB ,0.8606," Tualatin (Tualatin, OR)                  ",['Oregon State'],OR
Tavis Shippen,https://247sports.com/player/tavis-shippen-46083541,SDE ,0.8575," Mt. San Jacinto College (San Jacinto, CA)                    ","['Oregon State', 'Arizona State', 'Oregon', 'Utah', 'UCLA']",CA
Junior Walling,https://247sports.com/player/junior-walling-46050892,ILB ,0.8573," McNary (Keizer, OR)                  ","['Oregon State', 'Air Force', 'Army', 'Brown', 'Columbia', 'Cornell', 'Eastern Washington', 'Georgetown', 'Princeton', 'Utah', 'Yale', 'California', 'Oregon', 'San Jose State', 'UNLV', 'Utah', 'Washington', 'Washington State']",OR
Johnathan Riley,https://247sports.com/player/johnathan-riley-46042021,S ,0.8547," Kilgore J.C. (Kilgore, TX)                    ","['Oregon State', 'Massachusetts', 'Texas Tech', 'Cincinnati', 'Baylor', 'Virginia Tech']",TX
Sione Lolohea,https://247sports.com/player/sione-lolohea-93292,SDE ,0.8544," Aquinas (San Bernardino, CA)                  ","['Oregon State', 'Boise State', 'Brigham Young', 'Colorado', 'Fresno State', 'Hawaii', 'UNLV', 'Utah State', 'LSU']",CA
Silas Bolden,https://247sports.com/player/silas-bolden-46081702,WR ,0.8482," Rancho Cucamonga (Rancho Cucamonga, CA)                  ","['Oregon State', 'Hawaii', 'Idaho', 'Sacramento State', 'San Jose State', 'Utah State']",CA
Jake Overman,https://247sports.com/player/jake-overman-46059478,TE ,0.8477," Servite (Anaheim, CA)                  ","['Oregon State', 'Washington', 'Arizona', 'Boise State', 'California', 'Colorado', 'Fresno State', 'Kansas', 'Pennsylvania', 'Princeton', 'San Diego State', 'UNLV', 'Utah', 'Utah State', 'Vanderbilt', 'Yale', 'Arkansas', 'Indiana', 'Michigan', 'Oregon', 'Penn State', 'Purdue', 'TCU', 'Washington', 'Wisconsin']",CA
Cooper Darling,https://247sports.com/player/cooper-darling-46084385,OG ,0.8376," Williams Field (Gilbert, AZ)                  ","['Oregon State', 'Arizona State', 'Idaho', 'Northern Arizona', 'San Diego State']",AZ
Trevor Pope,https://247sports.com/player/trevor-pope-46079358,ATH ,0.8368," Tracy (Tracy, CA)                  ","['Oregon State', 'Fordham', 'New Mexico', 'San Jose State']",CA
Taliese Fuaga,https://247sports.com/player/taliese-fuaga-46085245,OT ,0.8343," Mount Tahoma (Tacoma, WA)                  ","['Oregon State', 'Hawaii', 'Nevada', 'Oregon', 'USC']",WA
Shane Kady,https://247sports.com/player/shane-kady-46083948,WDE ,0.8336," Mililani (Mililani, HI)                    ","['Oregon State', 'Arizona', 'Army', 'Brigham Young', 'Fresno State', 'Hawaii', 'Portland State', 'Utah State']",HI
Tommy Spencer,https://247sports.com/player/tommy-spencer-46085146,TE ,0.8234," Roseville (Roseville, CA)                  ","['Oregon State', 'Fresno State', 'San Diego State']",CA
Ron Hardge III,https://247sports.com/player/ron-hardge-iii-46039198,CB ,0.8204," City College of San Francisco (San Francisco, CA)                    ",['Oregon State'],CA
Tyler Morano,https://247sports.com/player/tyler-morano-46086207,OT ,0.8072," Granada (Livermore, CA)    ","['Oregon State', 'Idaho State', 'Yale', 'Columbia', 'Cornell', 'San Diego', 'Cal Poly', 'Howard', 'San Jose State', 'UC Davis', 'Washington State']",CA
